order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD182494,ID6197211592,6/22/2019,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2), ('iStream', 2), ('pearTV', 1)]",12200,79.89,-37.8151052,144.9328434,10,11059.89,Winter,TRUE,1.28,"perfect phone and trusted seller. phone itself is amazing. i got this phone as shown here on the description. it came in with original packaging including all original accessories. yes this phone is unlocked, so no doubt about it.",TRUE
ORD395518,ID0282825849,12/29/2019,Thompson,"[('Thunder line', 1), ('Universe Note', 2)]",9080,62.71,-37.8027362,144.9511178,0,9142.71,Summer,FALSE,1.1621,"it keeps dropping calls the wifi don't work this is a waste of money this phone is worthless, it keeps dropping calls the wifi don't work this is a waste of money",FALSE
ORD494479,ID0579391891,3/2/2019,Nickolson,"[('Thunder line', 1), ('pearTV', 2)]",10670,65.87,-37.8213016,144.9575809,10,9668.87,Autumn,FALSE,1.0949,five stars this is a great cheap phone.,TRUE
ORD019224,ID4544561904,1/12/2019,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2), ('Olivia x460', 1), ('iAssist Line', 1)]",24800,57.61,-37.8114157,144.9730729,15,21137.61,Summer,FALSE,0.8571,charger did not fit the charger didn't fit.,FALSE
ORD104032,ID6231506320,11/28/2019,Nickolson,"[('Universe Note', 1), ('Olivia x460', 1), ('iStream', 1), ('Toshika 750', 1)]",9145,75.54,37.8238586,144.9698923,25,6934.29,Spring,FALSE,0.5867,four stars good,TRUE
ORD146760,ID0311654900,9/16/2019,Bakers,"[('Thunder line', 2), ('Universe Note', 1)]",7810,71.22,37.8202452,145.0149442,10,7100.22,Spring,FALSE,2.0752,stolen phone sold us a stolen phone so we couldn't activate it. we ended up returning it and just purchasing a new one through our phone plan.,FALSE
ORD337984,ID3394768956,9/14/2019,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",13700,74.84,-37.8077429,144.9515704,5,13089.84,Spring,FALSE,0.6767,"love our inferno stick,easy to set up and have loads of shows for free and plenty to rent or buy.we also use pluto tv and tubi so that's even more tv.iassist makes it so easy to find any show or movie i want.we love the money we save.",TRUE
ORD072312,ID0774517121,5/23/2019,Thompson,"[('Universe Note', 1), ('Thunder line', 2), ('iStream', 1)]",7960,52.28,-37.8063372,144.9595445,5,10789.79,Autumn,FALSE,1.3043,it sucks mine came with dead pixels,FALSE
ORD377837,ID4769265355,10/9/2019,Bakers,"[('Alcon 10', 2), ('Thunder line', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",25390,107.58,-37.8108099,145.0140735,10,22958.58,Spring,TRUE,1.6595,this is how top phone should look like! super fast phone. overall no single issue found. or at last i did not consider. works flawless. super slim design is amazing. screen color and brightness tuned perfectly. best phone for sure,TRUE
ORD462194,ID5301568579,3/21/2019,Thompson,"[('Universe Note', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",13320,62.26,-37.808675,144.9423368,15,11384.26,winter,TRUE,0.6093,does not live up to its reputation. customer service at olivia is the worst. phone is horrible. do not buy this phone. the touch response is bad. customer service is horrible at olivia stay away.,FALSE
ORD034800,ID4283908179,8/3/2019,Bakers,"[('Alcon 10', 2), ('pearTV', 2), ('iStream', 1), ('Olivia x460', 1)]",31895,78.25,-37.8113336,145.0086784,0,31973.25,Winter,TRUE,1.1919,i love this phone it is so user friendly and the battery life is amazing.,TRUE
ORD361636,ID0589500304,12/5/2019,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850,77.29,-37.8202279,144.9574109,25,10464.79,Summer,FALSE,1.0829,great phone great deal! phone in fantastic condition 3 months already..knock on wood,TRUE
ORD124395,ID0702352304,2/11/2019,Thompson,"[('Alcon 10', 1), ('Universe Note', 1), ('pearTV', 1), ('iStream', 2)]",19010,94.75,-37.8054326,144.9413327,0,926057.25,Summer,TRUE,0.9509,"the cult's alive i love this little dummy-phone. the standby time's bananas! the handling's fantastic, even though the software could be more intuitive. but it's made to do 2 things: make/take phone calls and texts. and for that it works perfect!",TRUE
ORD255642,ID3085953531,12/24/2019,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 1)]",19710,75.64,-37.8161657,144.9752775,0,19785.64,Summer,TRUE,0.5716,"phone had a problem phone seemed great but constantly had a message about service provider update after inserting sim card, which rendered the phone useless. spent several hours trying to figure out the problem and called olivia, cricket, sprint but nobody could help.",FALSE
ORD496722,ID0589449820,4/9/2019,Nickolson,"[('pearTV', 2), ('iStream', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",31900,79.78,-37.8094626,144.9723672,0,31979.78,Autumn,TRUE,66.6483,"five stars good speed, like stanley",TRUE
ORD449130,ID0356449717,5/17/2019,Bakers,"[('Toshika 750', 2), ('Alcon 10', 1), ('Thunder line', 1), ('Candle Inferno', 1)]",20200,46.35,-37.8081254,144.9867964,25,15196.35,Autumn,FALSE,0.7706,junk that what receive in the mail .,FALSE
ORD036056,ID0767733196,8/10/2019,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Lucent 330S', 1), ('Thunder line', 1)]",14810,80.69,-37.8042307,144.9717294,25,11188.19,Winter,TRUE,1.6104,love it i am in love with my phone. ????,TRUE
ORD428910,ID2180614753,7/15/2019,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 1)]",1655,63.27,-37.8141139,144.9714122,25,1304.52,Winter,FALSE,0.525,nice phone worked great on straight talk. been a durable phone,TRUE
ORD007249,ID0767586831,2/24/2019,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2), ('Olivia x460', 1)]",6535,60.64,-37.8091799,144.9728744,5,6268.89,Summer,FALSE,1.088,one star the phone does not work since i received it.,FALSE
ORD232940,ID2020835025,1/4/2019,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,77.11,-37.8149171,144.9680205,5,6294.86,Summer,TRUE,61.2935,tablet had trouble from the begging it kept restarting and rebooting i had to return it.,FALSE
ORD178590,ID6167441029,11/20/2019,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",13710,77.61,-37.809311,145.0185951,0,13787.61,Spring,FALSE,1.2791,love it. perfect. the battery life is at 94% which is awesome for a refurbished phone.,TRUE
ORD157688,ID1404219802,12/15/2019,Bakers,"[('Candle Inferno', 1), ('Toshika 750', 1)]",4750,73.05,-37.8028178,144.992404,0,4823.05,winter,FALSE,0.8369,None,TRUE
ORD314979,ID2187972536,9/17/2019,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 2), ('iStream', 1), ('Universe Note', 1)]",22730,63.51,-37.8095956,144.9638143,25,17111.01,Spring,FALSE,1.1216,just missed the 30 day warranty it stopped working after 1 month of use very light use at that. didn't turn back on. buyer beware make sure you get the phone checked by pros to see if there is something wrong with it,FALSE
ORD339672,ID0129952519,10/7/2019,Bakers,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675,73.03,-37.8069808,144.9942382,5,5464.28,Spring,FALSE,0.3468,"i think that the digico candle tablet was a great purchase for my teenage daughter and grandson, very easy to operate. it kept them entertained for hours while we were traveling on the train for vacation.",TRUE
ORD239838,ID1888086809,4/7/2019,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('pearTV', 1), ('Candle Inferno', 2)]",18390,68.69,-37.7995959,144.9605411,5,17539.19,Autumn,FALSE,1.877,"i love it, wife hates it.",TRUE
ORD340641,ID3130999251,11/19/2019,Bakers,"[('Candle Inferno', 1), ('Thunder line', 1), ('iStream', 2)]",2910,91.48,-37.813288,145.0104152,25,2273.98,Spring,TRUE,1.3846,"not gsm unlocked this device is not gsm unlocked. i got the phone and tried to use my sim card and it is locked only for verizon. so disappointed in the seller for advertising it as such. tried an at&t, and t-mobile sim, and neither will work. needless to say, i am immediately returning it.",FALSE
ORD330543,ID0282854607,1/5/2019,Bakers,"[('pearTV', 2), ('Lucent 330S', 1), ('Toshika 750', 2)]",22490,105.04,-37.802871,145.0166333,10,20346.04,Summer,TRUE,2.0425,"more options where's the different option for color/ storage also the pro version. also wasn't the phone supposed to be 150$ not 200. there's no where i can see on the official site, cost about double in other sites also need more capatable phone carrier brands",TRUE
ORD052585,ID1479897546,6/24/2019,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1)]",5585,78.28,-37.8200704,145.0117177,0,5663.28,Winter,TRUE,0.9992,"great phone! i used this phone for several months and never had a problem! only small issue may be the little keys, but it didn't bother me one bit. excellent phone!",TRUE
ORD035930,ID0593055535,2/26/2019,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 1), ('Universe Note', 1), ('pearTV', 2)]",18960,77.8,-37.812004,144.9636734,10,17141.8,Summer,TRUE,0.8975,"when i will receive this product that i bought on october 30, 2019. when i receive this product i will know.",FALSE
ORD406814,ID0452381262,3/1/2019,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('pearTV', 2), ('Candle Inferno', 1)]",21730,69.68,-37.8253426,144.9513179,10,19626.68,Autumn,FALSE,1.459,"good phone... obviously, this isn't a newer pixel but it's a good phone.",TRUE
ORD069995,ID0576879097,7/25/2019,Nickolson,"[('pearTV', 1), ('Olivia x460', 2), ('Universe Note', 1)]",12210,77.24,-37.8201805,144.980577,0,12287.24,Winter,TRUE,0.9855,five stars nice.,TRUE
ORD383725,ID2020813862,3/1/2019,Thompson,"[('Universe Note', 2), ('iAssist Line', 2), ('Toshika 750', 1), ('iStream', 1)]",15820,64.81,-37.8115241,144.9592206,15,402307.25,Autumn,FALSE,1.0763,"omg this is an amazing phone, this can be compared to phones that cost $1,000.",TRUE
ORD026682,ID0076459536,4/26/2019,Bakers,"[('iStream', 1), ('Thunder line', 2), ('Candle Inferno', 2), ('Lucent 330S', 2)]",7830,70.74,-37.791144,144.9368632,0,7900.74,Autumn,TRUE,2.5592,defectuoso defectuoso,FALSE
ORD349525,ID1833115014,12/17/2019,Thompson,"[('Universe Note', 2), ('iAssist Line', 1), ('Thunder line', 2), ('Toshika 750', 1)]",17805,74.79,-37.8076815,144.9544519,5,16989.54,Summer,FALSE,0.8546,perfect for me. i really love this phone. bought it used. no damage and it works as though it is new.,TRUE
ORD215329,ID0580186550,4/14/2019,Thompson,"[('pearTV', 1), ('iStream', 2), ('Universe Note', 2), ('Alcon 10', 1)]",22460,70.09,-37.7998828,144.9272705,15,19161.09,winter,FALSE,2.2493,"looks good! was a gift for daughter. she's happy with, said she likes the look and feel.",TRUE
ORD387808,ID0387153095,12/29/2019,nickolson,"[('Universe Note', 1), ('iStream', 2)]",3750,92.94,-37.8069542,144.9542763,15,3280.44,Summer,TRUE,0.8984,got this for my grandmother and she absolutely loves it.,TRUE
ORD154758,ID0207093524,8/27/2019,Bakers,"[('pearTV', 1), ('iStream', 2), ('Universe Note', 2)]",13510,53.95,-37.8032831,145.007438,25,10186.45,Winter,FALSE,1.308,"this worked well for about 6 months but then stopped connecting to the internet (wifi) and none of the trouble shooting efforts worked.  digico customer service couldn't help further and told me warranty was only 3 months, which was very disappointing, so they weren't willing to replace.",FALSE
ORD157353,ID6167266626,6/26/2019,Nickolson,"[('pearTV', 2), ('iStream', 1)]",12770,52.12,-37.8095947,144.9636776,0,12822.12,Winter,FALSE,1.1272,one star phone sucks!!! don't ever buy that piece of junk!!!,TRUE
ORD430536,ID0598399382,4/2/2019,Nickolson,"[('Toshika 750', 1), ('iAssist Line', 1), ('iStream', 1), ('Universe Note', 2)]",13595,64.53,-37.8140167,144.9654387,15,11620.28,Autumn,FALSE,0.6249,excellent phone i really bought it as a gift is a phone that a friend in another country that uses the 3g network sent me thanks because the phone is formidable thanks for your work,TRUE
ORD453282,ID0781091686,10/17/2019,Bakers,"[('pearTV', 2), ('iAssist Line', 1), ('Candle Inferno', 1)]",15275,91.46,-37.8119347,145.0134889,15,13075.21,Spring,TRUE,1.62,no me an entregado todav?a muy mal x que hasta el d?a de hoy no me lo entregan,FALSE
ORD466433,ID3218293544,3/8/2019,Thompson,"[('pearTV', 1), ('Olivia x460', 1)]",7535,66.54,-37.8040253,144.9528506,25,5717.79,Autumn,FALSE,1.1956,"great phone! ordered for my 77 year old mom. she loves it, says it's the best one she's ever had. coming from her, that's a big compliment.",TRUE
ORD481832,ID0589473307,2/2/2019,Nickolson,"[('Universe Note', 2), ('Candle Inferno', 2), ('pearTV', 1)]",14070,73.33,-37.8200673,144.9586124,15,620502.3,Summer,FALSE,0.9757,"very pleased with the thunder 2nd generation. it is so nice to have iassist available for music, weather, news, and probably a lot more we haven?? discovered.",TRUE
ORD344472,ID5002592919,12/21/2019,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Toshika 750', 1), ('iAssist Line', 1)]",9865,52.2,-37.8122134,144.9519126,15,8437.45,Summer,FALSE,0.429,does not respond to actions performed. this phone has no response to your actions most of the time. you constantly have to redo every touch you make. returning...,FALSE
ORD473815,ID0588198721,3/13/2019,Nickolson,"[('Thunder line', 1), ('pearTV', 1)]",8490,66.07,-37.8121368,144.9739924,5,8131.57,Autumn,FALSE,0.8182,"awesome phone! great phone! the screen is a nice size, the color was perfect- i absolutely love it! the shipping service was also wonderful- it came right on time! thanks digico!",TRUE
ORD098336,ID0703556755,3/28/2019,Thompson,"[('pearTV', 1), ('Thunder line', 2), ('iAssist Line', 1), ('Candle Inferno', 2)]",13755,67.01,-37.8068782,144.9560174,0,13822.01,Autumn,FALSE,1.0176,great and informative service. the guy who helped us was very friendly.,TRUE
ORD164452,ID4804855254,12/19/2019,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Universe Note', 1)]",8200,66.01,-37.7990648,144.9454199,10,7446.01,Summer,FALSE,1.5218,two stars hi my product do not turn on it broken.,FALSE
ORD029585,ID0248746951,2/14/2019,Thompson,"[('Lucent 330S', 1), ('iStream', 1), ('pearTV', 2)]",14000,98.3,-37.8217934,144.9907543,25,10598.3,Summer,TRUE,1.371,fair trade as expected,TRUE
ORD212818,ID0253027653,9/28/2019,Thompson,"[('pearTV', 1), ('Lucent 330S', 2)]",8770,66.33,-37.8240667,145.0163708,0,8836.33,Spring,FALSE,1.3039,"one star not a new phone, malfunctioning right out of the box, flickering white screen over everything.",FALSE
ORD468449,ID0634783945,12/21/2019,Thompson,"[('Thunder line', 1), ('Toshika 750', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",29580,94.73,-37.8125043,144.9374633,5,28195.73,Summer,TRUE,0.845,great lucent g quality phone for the price point,TRUE
ORD235371,ID0589704716,6/3/2019,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 2)]",20360,78.81,-37.8210844,144.9550887,5,19420.81,Winter,TRUE,1.1722,this is the best phone i have ever bought you want a camera that makes phone calls.....then you got it.....top of the line phone too,TRUE
ORD403400,ID0814816061,5/27/2019,Nickolson,"[('Universe Note', 1), ('iAssist Line', 2)]",7900,77.82,-37.8153678,144.975339,0,7977.82,Autumn,TRUE,0.623,perfect! looked brand new!! worked perfect once sim card installed!,TRUE
ORD212584,ID0277362770,1/18/2019,nickolson,"[('iStream', 2), ('iAssist Line', 2), ('Universe Note', 2)]",11650,96.56,-37.8113389,145.0085819,15,9999.06,Summer,TRUE,1.1835,five stars sweet,TRUE
ORD439821,ID6167489399,1/28/2019,Thompson,"[('Lucent 330S', 1), ('Candle Inferno', 2), ('iStream', 2)]",2390,76.36,-37.8096114,144.9595749,5,2346.86,Summer,FALSE,1.1514,honest mistake purchased two unlocked phones but only one came unlock. contact seller and received code to unlock phone. after numerous attempts i was able to unlock phone. i am now please with my purchase. i was going to return phone but decided to keep phone.,TRUE
ORD288212,ID6167440982,8/3/2019,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 1), ('pearTV', 1)]",16180,50.05,-37.0266563,144.9630777,5,15421.05,Winter,FALSE,0.7368,my phone has over heated and no longer works. ... my phone has over heated and no longer works..it worked for a year but now it doesn't work idk what to do..,FALSE
ORD308765,ID0107172471,1/4/2019,Nickolson,"[('iStream', 1), ('Thunder line', 1)]",2330,89.45,-37.8214213,144.9639248,5,2302.95,Summer,TRUE,0.5863,five stars it is everything and more. seller threw in a screen protector. thanks,TRUE
ORD442452,ID0582560124,8/26/2019,Nickolson,"[('Alcon 10', 2), ('Toshika 750', 2), ('pearTV', 2), ('Thunder line', 2)]",43520,62.93,-37.8221851,144.9786566,5,41406.93,Winter,TRUE,0.8949,was not described accurately phone was labeled as "verizon" and "unlocked" but is neither. this cellphone is only serviceable with at&t which i don't have making the phone worthless to me.,FALSE
ORD370065,ID2473002367,3/2/2019,Bakers,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,65.72,-37.8041871,145.0022771,0,4470.72,Autumn,FALSE,0.8956,one of the most better cells in the market all the phone cell are beautiful and well designed,FALSE
ORD386513,ID0746912612,9/7/2019,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Toshika 750', 2)]",17410,66.7,-37.8248801,144.9847117,5,22306.28,Spring,FALSE,1.5055,"la pantalla dejo de funcionar sorry, this video is unsupported on this browser. ?luego de 24 horas la pantalla dejo de funcionar y solo parpadea como muestra el video",FALSE
ORD405547,ID3213448169,5/5/2019,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 1)]",4685,65.27,-37.8080577,144.9609388,25,3579.02,Autumn,FALSE,1.3236,"five stars great phone, works very well. i am in love.",TRUE
ORD476072,ID0250774457,9/26/2019,Bakers,"[('iassist line', 2), ('toshika 750', 2), ('olivia x460', 1), ('universe note', 1)]",17765,67.96,-37.8147977,145.0118159,15,15168.21,Spring,FALSE,1.5533,sad :( i emailed the seller and asked him if there was anything wrong with the phone and they assured me they check all their devices and nothing was wrong with the phone. when it arrived the home button was not working. i will have to get the entire screen changed to fix this which will cost well over $100. disappointed.,FALSE
ORD261924,ID0373641803,5/30/2019,Thompson,"[('Universe Note', 2), ('Candle Inferno', 2)]",7760,52.6,-37.8108227,145.0166183,10,7036.6,Autumn,FALSE,1.3344,"one star i would not buy any of asus phone, they are very fragile even with heavy cover.",FALSE
ORD028755,ID0283255338,6/13/2019,Bakers,"[('iAssist Line', 2), ('pearTV', 2), ('Thunder line', 1), ('Alcon 10', 2)]",37150,65.32,-37.8039824,145.0075865,0,37215.32,Winter,TRUE,1.2762,i order google pixel 2xl and it's come google pixel 2 and i don't like it bad phone i order google pixel 2xl and it's come google pixel 2 and i don't like it it's not google pixel 2 xl,FALSE
ORD363569,ID1283637393,9/3/2019,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",23875,66.95,-37.8020319,144.9570706,25,17973.2,Spring,FALSE,1.4754,"do not buy! bought this phone and was so disappointed, phone clearly said 64gb on the phone and the packaging, but when i installed2 app no space. only to see it's only 8 gb. to late to return it will because of where i am now.",FALSE
ORD239056,ID0598401527,4/25/2019,Nickolson,"[('Alcon 10', 1), ('pearTV', 1), ('iAssist Line', 2)]",19710,63.3,-37.8146744,144.963545,25,14845.8,Autumn,TRUE,0.6851,one star defected.,FALSE
ORD103199,ID0711334400,1/2/2019,Thompson,"[('iStream', 2), ('Thunder line', 2), ('Lucent 330S', 1)]",5890,78.13,-37.8068633,144.9589424,10,5379.13,winter,FALSE,1.2283,"great value bought this as an inexpensive replacement for a stolen phone. arrived in great condition, exactly as described. so far it has been a great phone for my mother and had no issues with the quality or service.",TRUE
ORD288725,ID0457365601,10/25/2019,Nickolson,"[('pearTV', 1), ('iAssist Line', 2), ('Toshika 750', 2)]",19400,72.47,-37.8207167,144.9707771,15,16562.47,Spring,FALSE,0.2596,quick and easy to set up,TRUE
ORD005232,ID0247417091,11/4/2019,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Universe Note', 1)]",5905,95.22,-37.8179057,144.9706398,15,5114.47,Spring,TRUE,0.1227,"excellent battery life quick sale and shipping. using it as a 32 gb mp3 player w/fm radio when i travel. excellent battery life, too. not too shabby for $5 @!! i'm happy. btw, it came with triple minutes, if i ever use it as a cellphone :)",TRUE
ORD158007,ID3106293373,2/22/2019,Thompson,"[('iStream', 1), ('Olivia x460', 1), ('Alcon 10', 2), ('Thunder line', 1)]",61619,79.39,-37.8066068,144.9324524,15,18316.14,Summer,FALSE,1.452,mom loves it i bought this for my mom and she loves it. she saw that i got the note edge and she loved it so i got her this one. the note edge would have been too big for her little hands. i almost bought this phone for myself but i love a bigger phone.,TRUE
ORD345282,ID6167417944,10/16/2019,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 1), ('iStream', 1)]",10020,100.79,-37.8144836,144.9619659,5,9619.79,Spring,TRUE,0.8089,five stars love it,TRUE
ORD355878,ID4297530201,9/17/2019,Bakers,"[('IASSIST LINE', 1), ('ALCON 10', 2), ('OLIVIA X460', 1), ('ISTREAM', 1)]",21500,92.62,-37.8023255,144.9777778,15,18367.62,Spring,TRUE,1.7566,phone i thought it was new. battery didn't work and the phone looked bad.,FALSE
ORD122655,ID1725216621,6/28/2019,Thompson,"[('Universe Note', 2), ('Thunder line', 1), ('Candle Inferno', 2), ('Toshika 750', 2)]",655164,81.7,-37.8040911,144.9619114,10,16803.7,Winter,TRUE,1.6176,five stars excellent phone! i do not understand why people are buying alcon or olivia for $$$$$!!!,TRUE
ORD371930,ID6231506306,6/29/2019,Nickolson,"[('Alcon 10', 2), ('Toshika 750', 2)]",26540,76.53,-37.8248015,144.9690242,0,26616.53,Winter,TRUE,0.6924,ok ok,TRUE
ORD230298,ID0304186956,11/3/2019,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2), ('Thunder line', 2)]",10260,81.6,-37.8260331,144.9835017,15,8802.6,Spring,FALSE,1.48,nice budget phone this is awsome phone with this price. face unlock is really fast. yet to check camera quality.,TRUE
ORD242226,ID1152560936,3/3/2019,Thompson,"[('Alcon 10', 2), ('pearTV', 1)]",24210,83.23,-37.798879,144.9516355,0,24293.23,Autumn,TRUE,1.5872,very easy to use tablet. lots of apps and game available.,TRUE
ORD228044,ID0746912592,1/31/2019,Nickolson,"[('iStream', 1), ('Thunder line', 2)]",4510,79.92,-37.024913,144.9842075,15,3913.42,Summer,FALSE,1.4323,phone was great e5 worked great.,TRUE
ORD070810,ID0317369540,2/22/2019,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('pearTV', 2)]",14275,77.18,-37.8062244,144.9554662,15,12210.93,Summer,FALSE,1.0299,is really good and i like it i got tired from braying ... this phone. is really good and i like it i got tired from braying i phones. lg. ets. i got to of this phone,TRUE
ORD063307,ID4418536063,9/14/2019,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 1), ('iStream', 1)]",2605,85.06,-37.8021972,144.9630762,0,2690.06,Spring,FALSE,1.8281,five stars this is the best unlocked cellphone i have ever bought. love it,TRUE
ORD016841,ID0598348995,11/27/2019,Nickolson,"[('iAssist Line', 2), ('Universe Note', 1), ('pearTV', 2), ('Alcon 10', 1)]",29470,59.68,-37.8125018,144.9632414,5,28056.18,Spring,FALSE,0.8763,"paid for new device, received refurbished one. did not receive a new device! not happy about being deceived!!! buyer beware!",FALSE
ORD347594,ID0332796790,4/1/2019,Bakers,"[('Lucent 330S', 2), ('pearTV', 2), ('iAssist Line', 1), ('Alcon 10', 2)]",35205,73.58,-37.8085633,145.0001673,10,31758.08,Summer,TRUE,0.4624,not as advertised was not actually unlocked and still registered to someone else. i had to return this and purchase a different phone,FALSE
ORD457758,ID0401416145,4/29/2019,Thompson,"[('Universe Note', 1), ('Toshika 750', 2)]",12090,66.73,-37.807841,144.938431,25,9134.23,Autumn,FALSE,0.9308,nice phone clean,TRUE
ORD300049,ID0387704653,6/22/2019,Nickolson,"[('Toshika 750', 1), ('iStream', 1)]",4470,63.92,-37.8204423,144.9640738,25,3416.42,Winter,FALSE,0.5237,"best phone onhe market its the best phone on the market. replaceable battery, micro sd, 13megapixel camera that's only beaten by the lumia 41 megapixel camera, infra red, widows pone 8.1 (devpre), amazing screen and its light as a feather. cost me less than ?200!",TRUE
ORD016018,ID0579501050,10/1/2019,Thompson,"[('pearTV', 2), ('Toshika 750', 1), ('iAssist Line', 1)]",19165,71.34,-37.8142701,144.9493838,25,393761.23,Spring,FALSE,0.2703,"awesome phone as a droid fan, i love this phone. very much worth the money.",TRUE
ORD137495,ID5402876165,2/21/2019,Nickolson,"[('pearTV', 2), ('Olivia x460', 2), ('Thunder line', 2)]",19430,74.08,-37.8176138,144.9730313,25,14646.58,Autumn,TRUE,0.325,sad. google maps takes 5 minutes to load. with the fastest chip on board and latest updates for phone i figured would be faster. nope. sad.,FALSE
ORD319178,ID4716795173,6/5/2019,Thompson,"[('Universe Note', 2), ('iAssist Line', 1)]",9125,76.98,-37.818841,144.9532845,15,7833.23,Winter,TRUE,0.8776,a good phone so far not sure it?? been 3 days however it arrived in time with no scratches on it an looked new... it?? to early to confirm if it is mechanically sound .. so far so good,FALSE
ORD076632,ID0588200381,9/4/2019,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('iStream', 2), ('Olivia x460', 1)]",4415,75.22,-37.8121236,144.9739868,0,4490.22,Spring,FALSE,0.8192,"great camera great camera, great phone.",TRUE
ORD138302,ID0131247323,10/6/2019,Nickolson,"[('iStream', 2), ('pearTV', 1), ('Alcon 10', 2)]",24510,87.54,-37.8144221,145.0161351,0,24597.54,Spring,TRUE,0.8572,really annoying. phone was not unlocked as described. really annoying.,FALSE
ORD208711,ID0130040956,6/13/2019,Thompson,"[('Thunder line', 2), ('Candle Inferno', 1), ('Universe Note', 2), ('Lucent 330S', 2)]",14150,73.11,-37.8029953,144.9281069,10,12808.11,Winter,FALSE,1.9854,great great value for the price,TRUE
ORD168543,ID1982456970,1/7/2019,Bakers,"[('pearTV', 2), ('iAssist Line', 2), ('Universe Note', 1)]",20520,58.61,-37.0916265,144.9952241,25,15448.61,Summer,FALSE,0.8283,defective product - phone stops working in a few months phone barely lasted 6 months. at first i had battery issues and now the phone won't start. the seller is clearly selling defective batched of product. i would suggest to stay away.,FALSE
ORD151330,ID4419686624,6/23/2019,Thompson,"[('Thunder line', 2), ('Candle Inferno', 2), ('Alcon 10', 1)]",14170,82.27,-37.8017591,144.9632047,10,12835.27,Winter,TRUE,1.8681,do you know a graduate? for a recent high school graduate this was a great present. he can use it to job search and to keep his upcoming college schedule in order.,TRUE
ORD300924,ID0277366130,10/6/2019,Bakers,"[('Thunder line', 2), ('iAssist Line', 1), ('Olivia x460', 2)]",9035,108.57,-37.8009524,145.0120941,0,9143.57,Spring,TRUE,1.7925,still a great phone... with this phone i can change my own battery. keep your alcon crap! this oldie is still a goody!,TRUE
ORD141734,ID2325395490,6/10/2019,Thompson,"[('iStream', 1), ('Alcon 10', 1), ('Olivia x460', 2), ('Lucent 330S', 2)]",14010,80.66,-37.808393,144.9593275,5,13390.16,Winter,TRUE,1.1787,"great value budget phone great product came with accessories, fast and crisp screen. i love the lucent g6",TRUE
