Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Loyalty_Level
1,103,48,2461.6407298883623,4,5,3,12,1
2,349,13,3279.3572502475686,1,2,4,7,2
3,271,22,2899.848304609996,2,3,3,8,2
4,107,35,708.6024086767051,4,4,1,9,2
5,72,47,815.2531238589984,5,5,1,11,1
6,189,22,3360.2411140766912,3,3,4,10,1
7,21,28,4046.457387487983,5,3,5,13,0
8,103,21,4541.291268622659,4,3,5,12,1
9,122,46,4069.921461577123,4,5,5,14,0
10,215,18,4869.880155647102,3,2,5,10,1
11,331,31,2047.1765027840256,1,4,3,8,2
12,88,46,1662.5171135679511,4,5,2,11,1
13,100,37,150.63842120213332,4,4,1,9,2
14,360,21,2254.9803213805862,1,3,3,7,2
15,152,14,3260.3440465420304,3,2,4,9,2
16,131,25,4078.8891201991532,4,3,5,12,1
17,150,27,1344.6023600441079,3,3,2,8,2
18,309,40,2572.8204690827592,1,4,3,8,2
19,258,23,3313.4277274240926,2,3,4,9,2
20,344,31,2762.4983012606285,1,4,3,8,2
21,294,47,1377.3633798380147,1,5,2,8,2
22,192,29,3983.4493670923607,3,3,4,10,1
23,277,47,875.0714522349491,2,5,1,8,2
24,161,30,4525.849370593956,3,3,5,11,1
25,314,26,4763.457777783508,1,3,5,9,2
26,22,20,1834.2105777555578,5,2,2,9,2
27,253,38,1887.1471345248995,2,4,2,8,2
28,236,19,3718.9585119967987,2,2,4,8,2
29,345,27,2286.8801067744835,1,3,3,7,2
30,49,25,152.7646165601836,5,3,1,9,2
31,59,40,4600.184871099453,5,4,5,14,0
32,170,38,2159.4442064091563,3,4,3,10,1
33,188,23,1025.4405516961533,3,3,2,8,2
34,271,29,2782.7637250124426,2,3,3,8,2
35,190,15,1102.3417513306697,3,2,2,7,2
36,175,3,1038.049778411223,3,1,2,6,3
37,51,10,2733.1993236792573,5,1,3,9,2
38,364,15,1961.3010380254507,1,2,2,5,3
39,55,16,2869.2364584835796,5,2,3,10,1
40,244,17,4984.158929688089,2,2,5,9,2
41,320,19,4296.500590310134,1,2,5,8,2
42,131,11,48.27728845604589,4,2,1,7,2
43,307,48,262.27299059157485,1,5,1,7,2
44,135,5,3054.2964062549104,4,1,4,9,2
45,21,5,3135.017844850167,5,1,4,10,1
46,329,14,4392.172311939207,1,2,5,8,2
47,167,26,3148.9953008639104,3,3,4,10,1
48,274,8,1146.295547193554,2,1,2,5,3
49,89,5,2347.895976241218,4,1,3,8,2
50,316,7,4046.837149349231,1,1,5,7,2
51,14,16,4614.896573345874,5,2,5,12,1
52,242,14,1192.2064436438786,2,2,2,6,3
53,265,37,2702.627627716496,2,4,3,9,2
54,346,41,803.0484753503096,1,5,1,7,2
55,53,4,2490.0284976485705,5,1,3,9,2
56,340,36,459.66946254001044,1,4,1,6,3
57,92,48,4709.223069052866,4,5,5,14,0
58,264,17,3193.9017268302514,2,2,4,8,2
59,35,47,4272.541541151249,5,5,5,15,0
60,206,36,4991.492919167712,3,4,5,12,1
61,81,6,921.5033135798375,4,1,1,6,3
62,50,16,3473.7756406486465,5,2,4,11,1
63,360,29,4436.061604599222,1,3,5,9,2
64,2,36,2883.931455384832,5,4,3,12,1
65,54,38,3202.0849280491393,5,4,4,13,0
66,106,37,2044.2787366905154,4,4,3,11,1
67,260,48,3377.056560245405,2,5,4,11,1
68,310,48,1983.9337943336577,1,5,2,8,2
69,191,10,2388.3319943757274,3,1,3,7,2
70,218,41,523.5295956878962,2,5,1,8,2
71,44,36,48.96391690010442,5,4,1,10,1
72,162,29,285.20410945334476,3,3,1,7,2
73,202,14,970.6829882786326,3,2,1,6,3
74,270,4,2288.453059779376,2,1,3,6,3
75,351,44,114.76041354875488,1,5,1,7,2
76,304,42,788.1238293796202,1,5,1,7,2
77,271,36,3909.4085733833485,2,4,4,10,1
78,215,45,3813.2111257276147,3,5,4,12,1
79,252,13,3950.7541554607446,2,2,4,8,2
80,190,46,4608.489306551902,3,5,5,13,0
81,296,18,604.1642936652505,1,2,1,4,3
82,213,33,824.0679823771359,3,4,1,8,2
83,208,21,1674.4325368605587,3,3,2,8,2
84,237,16,4576.554582914739,2,2,5,9,2
85,338,15,3879.6339375996654,1,2,4,7,2
86,53,5,1627.3651489382753,5,1,2,8,2
87,280,6,447.30273073584704,2,1,1,4,3
88,217,38,3085.736330482682,3,4,4,11,1
89,252,3,1291.5276373702052,2,1,2,5,3
90,188,48,2660.45130418308,3,5,3,11,1
91,41,12,4709.598764408875,5,2,5,12,1
92,157,36,2867.3600541185288,3,4,3,10,1
93,15,33,4619.933837752587,5,4,5,14,0
94,301,36,1971.2635421144282,1,4,2,7,2
95,65,33,3170.4231730709657,5,4,4,13,0
96,345,31,4470.510969995352,1,4,5,10,1
97,327,21,2944.0566849296006,1,3,3,7,2
98,9,27,3078.34439836525,5,3,4,12,1
99,344,27,3584.37683058531,1,3,4,8,2
100,129,8,4411.717708369383,4,1,5,10,1
101,136,37,450.01850559185635,4,4,1,9,2
102,63,32,1690.9283170586737,5,4,2,11,1
103,139,26,1994.446783142213,4,3,2,9,2
104,81,2,4549.451230291997,4,1,5,10,1
105,163,12,4780.479543335845,3,2,5,10,1
106,289,22,610.6985186789725,2,3,1,6,3
107,261,17,604.3473221460162,2,2,1,5,3
108,231,7,4674.9603533192885,2,1,5,8,2
109,41,43,1485.9017878991374,5,5,2,12,1
110,28,4,1216.653950995392,5,1,2,8,2
111,135,37,187.7581001129524,4,4,1,9,2
112,201,38,1385.2237145055387,3,4,2,9,2
113,328,32,3470.6968718576813,1,4,4,9,2
114,268,11,2135.920452070413,2,2,3,7,2
115,33,1,2589.1830547422833,5,1,3,9,2
116,48,25,4587.3050271082775,5,3,5,13,0
117,62,42,582.3020155298692,5,5,1,11,1
118,216,24,365.49116906056906,3,3,1,7,2
119,293,43,4261.134438128232,1,5,5,11,1
120,99,17,3876.530429179226,4,2,4,10,1
121,172,8,1326.033592855712,3,1,2,6,3
122,360,45,1627.9282906066735,1,5,2,8,2
123,214,27,1558.2864005205447,3,3,2,8,2
124,35,18,3242.5659021293372,5,2,4,11,1
125,227,27,315.4454198750071,2,3,1,6,3
126,101,22,2452.1139104659974,4,3,3,10,1
127,131,16,678.0261158725983,4,2,1,7,2
128,257,2,4100.495319221975,2,1,5,8,2
129,5,5,1909.5083915067266,5,1,2,8,2
130,218,18,2642.585244165102,2,2,3,7,2
131,255,3,156.294867806142,2,1,1,4,3
132,359,27,300.7389245698511,1,3,1,5,3
133,283,17,3378.5236053599956,2,2,4,8,2
134,207,16,3836.185020255247,3,2,4,9,2
135,15,6,3553.077567164985,5,1,4,10,1
136,346,7,3687.7229959247225,1,1,4,6,3
137,42,14,532.0530542411516,5,2,1,8,2
138,179,38,3470.31969707673,3,4,4,11,1
139,63,40,916.9204376185772,5,4,1,10,1
140,352,15,499.0970050651592,1,2,1,4,3
141,231,47,3788.232543969657,2,5,4,11,1
142,241,47,4448.136524336808,2,5,5,12,1
143,52,48,3586.382437951742,5,5,4,14,0
144,96,33,4029.811529545619,4,4,5,13,0
145,222,43,4955.529894056863,2,5,5,12,1
146,231,27,682.4319979193558,2,3,1,6,3
147,237,29,4826.111236640862,2,3,5,10,1
148,143,37,3009.9770493956116,4,4,3,11,1
149,171,5,4068.133255151652,3,1,5,9,2
150,29,29,3254.3442161224734,5,3,4,12,1
151,36,32,2854.4885660388923,5,4,3,12,1
152,13,6,3521.0587801682223,5,1,4,10,1
153,160,2,1608.090735919784,3,1,2,6,3
154,327,6,4622.1149022246445,1,1,5,7,2
155,187,46,585.3099345583357,3,5,1,9,2
156,243,43,1596.975608591446,2,5,2,9,2
157,86,4,165.50014247051152,4,1,1,6,3
158,284,29,1363.9020077539976,2,3,2,7,2
159,66,25,1098.8832549356077,5,3,2,10,1
160,170,9,257.6579947863697,3,1,1,5,3
161,45,3,2463.9525786046243,5,1,3,9,2
162,62,26,2348.493848859493,5,3,3,11,1
163,134,48,397.9497650543577,4,5,1,10,1
164,284,43,1316.6341517279868,2,5,2,9,2
165,28,27,4767.077580727117,5,3,5,13,0
166,108,36,562.5757563069974,4,4,1,9,2
167,44,32,1532.0430578087462,5,4,2,11,1
168,340,1,188.95336828874616,1,1,1,3,3
169,286,16,752.9471410925961,2,2,1,5,3
170,331,48,3499.99156625429,1,5,4,10,1
171,128,11,1839.9153383080647,4,2,2,8,2
172,348,26,2265.8620876888117,1,3,3,7,2
173,231,40,793.3221917019741,2,4,1,7,2
174,190,1,3413.8794627275956,3,1,4,8,2
175,225,26,3760.092774475356,2,3,4,9,2
176,283,28,913.7491270885314,2,3,1,6,3
177,121,9,234.5173834635114,4,1,1,6,3
178,116,44,413.89626020200234,4,5,1,10,1
179,233,22,3288.6583284430585,2,3,4,9,2
180,259,8,686.1979064492463,2,1,1,4,3
181,359,49,2474.6549825024895,1,5,3,9,2
182,198,42,771.6812393215886,3,5,1,9,2
183,137,27,859.0387605441464,4,3,1,8,2
184,318,39,31.75891167417785,1,4,1,6,3
185,165,19,1610.9130367333557,3,2,2,7,2
186,225,25,458.08835770357297,2,3,1,6,3
187,307,38,1975.8667639487219,1,4,2,7,2
188,234,21,2992.9437049917437,2,3,3,8,2
189,172,24,1843.9844201613034,3,3,2,8,2
190,152,24,3528.357337868323,3,3,4,10,1
191,315,19,3709.844322516397,1,2,4,7,2
192,160,47,3486.065872930451,3,5,4,12,1
193,96,2,4684.200662561176,4,1,5,10,1
194,233,14,1194.0984422058036,2,2,2,6,3
195,180,32,955.3877010437333,3,4,1,8,2
196,113,42,3052.460331316917,4,5,4,13,0
197,318,32,2978.436277076575,1,4,3,8,2
198,52,28,2555.3906850372873,5,3,3,11,1
199,268,48,31.72242555637984,2,5,1,8,2
200,295,39,2780.6387672309324,1,4,3,8,2
201,113,40,4664.662303796165,4,4,5,13,0
202,101,42,1679.5426686731857,4,5,2,11,1
203,113,47,4838.31997466805,4,5,5,14,0
204,81,40,1790.2158291964945,4,4,2,10,1
205,187,13,707.873967563911,3,2,1,6,3
206,113,12,1998.033040486421,4,2,2,8,2
207,2,8,2478.110451488485,5,1,3,9,2
208,130,15,3151.0274067811897,4,2,4,10,1
209,220,26,2529.342028491447,2,3,3,8,2
210,54,12,2688.2259507570284,5,2,3,10,1
211,343,43,130.0945214044508,1,5,1,7,2
212,224,46,1275.5646439786067,2,5,2,9,2
213,225,27,1560.3763231164683,2,3,2,7,2
214,126,18,4935.571804028431,4,2,5,11,1
215,130,45,1484.883015050298,4,5,2,11,1
216,53,36,4483.928455633183,5,4,5,14,0
217,172,49,1530.633640699983,3,5,2,10,1
218,218,27,489.5905519015315,2,3,1,6,3
219,160,9,1245.6108213141124,3,1,2,6,3
220,198,39,1371.4136407223468,3,4,2,9,2
221,247,1,4891.460483506031,2,1,5,8,2
222,324,7,3374.7146127805136,1,1,4,6,3
223,203,26,4659.08816814862,3,3,5,11,1
224,184,7,4176.625160802061,3,1,5,9,2
225,123,7,2897.206468483707,4,1,3,8,2
226,255,8,3380.185741985361,2,1,4,7,2
227,294,16,3127.9375965431973,1,2,4,7,2
228,280,3,3334.6525006970155,2,1,4,7,2
229,325,45,1331.2205864901084,1,5,2,8,2
230,98,10,2046.544419697606,4,1,3,8,2
231,198,7,2967.1528998747503,3,1,3,7,2
232,240,21,189.283040628727,2,3,1,6,3
233,144,37,2419.34615799445,4,4,3,11,1
234,97,31,4300.037397655287,4,4,5,13,0
235,201,23,2466.9149606507963,3,3,3,9,2
236,124,27,2766.093609590942,4,3,3,10,1
237,187,22,1017.5065513708022,3,3,1,7,2
238,326,39,3973.773286487335,1,4,4,9,2
239,349,27,1800.802657307269,1,3,2,6,3
240,259,49,4783.3718918629265,2,5,5,12,1
241,148,4,4968.636893215301,3,1,5,9,2
242,252,24,4580.842707553256,2,3,5,10,1
243,346,23,433.53495663255825,1,3,1,5,3
244,147,48,1672.583945925174,3,5,2,10,1
245,148,19,4726.236799161562,3,2,5,10,1
246,352,42,4024.6211412737434,1,5,5,11,1
247,199,3,4556.806110644074,3,1,5,9,2
248,308,27,2867.040436269083,1,3,3,7,2
249,128,3,2407.183965055776,4,1,3,8,2
250,39,28,541.4166218522108,5,3,1,9,2
