price,cost,sales,profitable
21.85,29.38,711,0
47.78,6.56,300,1
37.94,29.49,278,1
31.94,8.59,643,1
12.02,33.41,879,0
12.02,20.6,537,0
7.61,38.51,670,0
43.98,42.7,615,0
32.05,21.68,531,1
36.86,23.42,749,1
5.93,28.61,542,0
48.65,12.89,162,1
42.46,42.09,599,0
14.56,22.32,335,0
13.18,11.67,435,1
13.25,35.51,69,0
18.69,13.77,989,1
28.61,10.74,513,1
24.44,27.51,629,0
18.11,31.86,929,0
32.53,27.78,766,1
11.28,31.26,255,0
18.15,9.62,570,1
21.49,24.04,797,0
25.52,19.28,447,1
40.33,43.93,828,0
13.99,6.98,555,1
28.14,16.93,315,1
31.66,42.67,248,0
7.09,44.34,362,0
32.34,38.0,55,0
12.67,8.04,962,1
7.93,27.45,318,0
47.7,21.0,620,1
48.45,37.26,864,1
41.38,7.2,811,1
18.71,12.89,429,1
9.4,24.57,169,0
35.79,11.31,821,1
24.81,32.71,587,0
10.49,37.83,593,0
27.28,33.18,500,0
6.55,22.61,444,0
45.92,40.14,935,1
16.65,10.51,491,1
34.81,15.41,869,1
19.03,24.58,206,0
28.4,7.45,179,1
29.6,8.83,284,1
13.32,20.9,501,0
48.63,42.76,98,1
39.88,41.34,418,1
47.28,23.64,454,1
45.27,10.69,578,1
31.91,12.12,158,1
46.48,20.1,766,1
8.98,13.4,145,0
13.82,8.32,548,1
7.04,31.95,948,0
19.64,28.26,603,0
22.49,16.65,737,1
17.21,36.16,165,0
42.29,36.04,400,1
21.05,24.64,720,0
17.64,8.86,687,1
29.42,41.74,434,0
11.34,31.75,397,0
41.1,14.88,648,1
8.35,29.42,677,0
49.41,21.2,552,1
39.75,30.41,630,1
13.94,23.95,562,0
5.25,24.42,897,0
41.7,34.44,252,1
36.81,29.55,85,1
37.81,8.2,662,1
39.71,7.61,897,1
8.33,17.2,748,0
21.13,22.21,622,1
10.21,16.01,381,0
43.84,31.06,783,1
33.05,12.8,797,1
19.89,33.17,309,0
7.86,35.93,168,0
18.99,9.97,354,1
19.63,31.03,858,0
37.83,43.46,791,0
33.69,12.71,237,1
44.92,41.37,249,1
26.25,29.24,249,1
10.38,28.64,938,0
37.1,7.08,838,1
39.24,34.93,89,0
30.26,24.13,910,1
39.69,33.85,896,0
27.22,37.37,639,0
28.52,25.95,663,1
24.24,15.55,507,1
6.14,10.66,780,0
9.86,11.42,217,0
6.41,39.68,294,0
33.64,9.94,972,1
19.15,20.39,219,0
27.89,18.37,921,1
45.84,39.62,299,1
16.22,24.11,943,0
23.47,44.86,532,0
39.0,34.48,469,1
15.3,39.04,700,0
8.46,8.95,126,1
18.04,15.12,84,1
12.25,10.42,550,1
46.84,23.54,902,1
41.37,33.73,342,1
33.5,11.76,541,1
44.22,10.21,189,1
41.17,29.58,483,1
13.4,14.21,970,0
45.17,24.17,880,1
29.27,7.04,424,1
41.33,32.22,669,1
45.32,26.65,553,1
19.31,30.9,515,0
9.95,16.02,315,0
15.26,16.14,875,1
24.22,37.05,152,0
41.81,33.74,564,1
43.73,28.19,758,1
5.31,30.13,872,0
27.98,8.76,957,1
23.78,39.25,350,0
14.99,35.8,730,0
10.39,28.62,401,0
20.19,41.74,731,0
47.43,11.75,594,1
19.54,32.47,887,0
28.35,43.52,527,0
36.64,17.4,567,1
21.36,5.61,528,1
48.73,34.39,947,1
48.31,5.28,203,1
16.33,39.9,97,0
27.38,7.25,785,1
18.54,31.11,874,0
17.82,20.09,118,1
6.66,13.13,223,0
32.43,40.93,481,0
27.62,34.85,602,0
7.32,18.62,156,0
17.54,16.37,577,1
45.87,34.44,229,1
